store_id,product_id,stock_level,reorder_level
S192,142,149,37
S164,1172,91,45
S053,678,82,27
S097,138,91,50
S028,1713,41,56
S166,1102,8,48
S118,1252,101,25
S096,774,62,23
S124,1007,69,50
S172,1334,132,51
S162,237,29,20
S132,638,145,59
S013,1073,73,23
S035,1260,161,50
S135,913,107,46
S077,1535,99,50
S199,1691,155,21
S031,675,54,49
S094,929,120,48
S055,425,86,47
S199,194,156,25
S027,318,10,40
S173,942,188,37
S108,561,133,41
S137,849,153,49
S124,279,46,53
S016,528,54,21
S161,1207,98,59
S075,439,120,49
S186,232,124,26
S196,1201,78,53
S096,699,68,41
S066,781,30,26
S128,924,97,34
S086,139,29,46
S109,1388,129,26
S192,1693,178,50
S060,1332,109,49
S118,125,74,27
S137,876,191,25
S034,676,111,32
S171,758,77,54
S019,572,35,24
S104,1854,173,45
S006,1789,24,28
S042,1227,28,54
S015,451,43,45
S002,298,93,43
S017,941,77,38
S029,154,52,48
S112,911,30,44
S053,1369,92,59
S047,1554,14,52
S124,481,171,54
S150,1607,116,44
S139,993,99,56
S125,963,138,37
S117,1421,52,59
S043,1501,29,27
S055,644,56,56
S044,956,168,53
S149,581,194,48
S107,1472,155,39
S007,66,46,48
S108,1607,175,37
S165,1392,139,33
S143,987,54,48
S110,539,21,25
S095,136,83,30
S006,1102,45,48
S068,414,180,50
S004,519,125,48
S130,1799,155,27
S170,1830,101,35
S148,421,188,48
S088,1769,77,43
S076,1385,141,29
S129,1689,197,49
S150,388,51,46
S101,1533,173,28
S133,1442,172,42
S117,400,88,28
S179,297,92,57
S130,1472,14,41
S195,662,34,33
S012,1559,170,44
S141,358,76,38
S167,711,70,49
S188,366,13,55
S108,475,31,49
S062,1390,70,54
S091,1873,160,37
S106,763,25,48
S008,589,14,28
S007,1161,136,43
S027,1478,195,33
S044,1959,188,59
S121,1806,149,57
S173,4,21,49
S038,1222,115,47
S196,663,64,59
S010,86,15,45
S105,1081,136,51
S062,629,155,51
S033,769,183,36
S188,448,96,33
S048,1415,40,34
S103,406,53,24
S126,1787,26,53
S171,715,54,26
S169,438,168,34
S022,1022,107,22
S011,1867,177,46
S016,1921,20,41
S094,622,79,47
S144,327,92,42
S186,1235,86,25
S023,38,132,27
S097,836,52,28
S031,801,21,46
S054,180,38,58
S195,607,174,48
S167,1960,5,32
S118,1337,99,32
S088,204,122,47
S114,588,76,52
S082,1558,114,26
S130,944,0,36
S159,106,129,42
S074,1048,93,29
S144,1850,160,21
S192,1433,116,53
S122,528,21,26
S179,240,115,40
S195,1659,155,51
S083,643,36,41
S128,1462,57,30
S005,1199,196,59
S127,1386,76,24
S013,883,170,45
S003,124,64,20
S165,1764,45,27
S020,880,104,40
S004,596,11,48
S095,1056,31,21
S069,649,111,46
S180,1776,110,26
S029,1137,141,25
S058,512,62,38
S098,1405,88,23
S183,1440,26,34
S176,329,166,40
S046,1760,160,48
S145,828,51,25
S016,1601,61,34
S099,1559,133,42
S012,1013,65,29
S173,930,103,45
S113,1376,17,49
S057,35,69,33
S155,484,25,56
S099,379,134,53
S074,540,161,27
S153,1254,110,36
S129,679,135,29
S179,79,176,45
S168,926,40,50
S020,917,27,40
S021,704,125,50
S125,974,7,49
S185,1718,4,45
S138,732,53,22
S012,592,109,30
S196,1772,118,40
S173,1298,35,41
S018,1093,82,59
S081,328,25,31
S093,1451,192,34
S180,136,49,44
S185,833,21,35
S124,239,5,35
S187,995,141,47
S197,87,0,23
S138,1323,155,41
