product_id,product_name,category,cost_price,selling_price
1,Koo Baked Beans 410g Pack,Snacks,16.48,24.61
2,Five Roses Tea 100s Unit,Bakery,15.29,19.47
3,Albany Brown Bread Bottle,Dairy,43.21,62.94
4,Nescafe Coffee 200g Pack,Cleaning,25.57,31.53
5,Koo Baked Beans 410g Box,Beverages,29.61,40.02
6,Five Roses Tea 100s Box,Groceries,38.94,49.65
7,Sunlight Dish Liquid 750ml Bottle,Dairy,25.39,31.34
8,Simba Chips 120g Pack,Pantry,9.07,13.3
9,Clover Full Cream Milk 1L Pack,Cleaning,15.16,18.35
10,Coca-Cola 500ml Bottle,Cleaning,32.53,39.74
11,Albany Brown Bread Unit,Cleaning,16.8,24.29
12,Albany Brown Bread Bottle,Groceries,40.44,53.64
13,Clover Full Cream Milk 1L Box,Pantry,11.36,16.53
14,Nescafe Coffee 200g Bottle,Pantry,9.31,12.26
15,Clover Full Cream Milk 1L Unit,Beverages,44.69,57.54
16,Simba Chips 120g Bottle,Cleaning,13.5,18.31
17,Koo Baked Beans 410g Box,Snacks,16.96,23.04
18,Clover Full Cream Milk 1L Unit,Pantry,44.36,70.88
19,Simba Chips 120g Unit,Cleaning,20.74,27.5
20,Nestle Milo 500g Pack,Dairy,21.64,32.02
21,Simba Chips 120g Box,Snacks,15.82,24.25
22,Simba Chips 120g Pack,Snacks,13.05,20.23
23,Clover Full Cream Milk 1L Box,Cleaning,43.99,54.37
24,Five Roses Tea 100s Bottle,Snacks,18.35,28.96
25,Clover Full Cream Milk 1L Bottle,Bakery,45.06,55.75
26,Simba Chips 120g Unit,Bakery,40.41,51.76
27,Sunlight Dish Liquid 750ml Unit,Bakery,40.9,64.91
28,Simba Chips 120g Pack,Bakery,6.77,10.1
29,Sunlight Dish Liquid 750ml Bottle,Pantry,18.91,24.44
30,Nestle Milo 500g Unit,Cleaning,14.39,18.25
31,Albany Brown Bread Bottle,Pantry,30.03,36.26
32,Koo Baked Beans 410g Pack,Cleaning,7.32,9.58
33,Omo Washing Powder 2kg Unit,Groceries,37.72,56.72
34,Nescafe Coffee 200g Unit,Cleaning,37.47,57.1
35,Simba Chips 120g Unit,Dairy,9.75,14.38
36,Sunlight Dish Liquid 750ml Pack,Pantry,30.96,48.69
37,Sunlight Dish Liquid 750ml Pack,Dairy,23.05,35.68
38,Nescafe Coffee 200g Unit,Beverages,5.78,7.64
39,Nescafe Coffee 200g Bottle,Dairy,41.52,51.1
40,Koo Baked Beans 410g Unit,Snacks,44.32,67.93
41,Sunlight Dish Liquid 750ml Unit,Dairy,12.09,15.99
42,Clover Full Cream Milk 1L Unit,Groceries,17.82,25.88
43,Five Roses Tea 100s Pack,Pantry,44.16,57.06
44,Five Roses Tea 100s Unit,Dairy,28.45,43.1
45,Koo Baked Beans 410g Pack,Cleaning,34.93,48.21
46,Sunlight Dish Liquid 750ml Bottle,Pantry,28.41,34.29
47,Five Roses Tea 100s Box,Snacks,5.32,6.83
48,Albany Brown Bread Unit,Beverages,13.09,18.54
49,Coca-Cola 500ml Pack,Pantry,37.03,57.3
50,Koo Baked Beans 410g Box,Cleaning,10.35,14.89
